Student Number;BES 220 (S2);BSS 310 (S1);CHM 171 (S1);CHM 172 (S2);CIL 111 (S1);CIL 121 (S2);EBN 111 (S1);EBN 122 (S2);EIR 221 (S2);FSK 116 (S1);FSK 176 (S2);IPI 410 (S1);JCP 203 (Y);JPO 110 (S1);JPO 112 (S1);JPO 113 (S1);JPO 116 (S1);JPO 120 (S2);JPO 125 (S2);JPO 126 (S2);MGC 110 (S1);MIA 320 (S2);MJJ 210 (S1);MOW 217 (S1);MPR 213 (S1);MSD 210 (S1);MTV 310 (S1);MTX 221 (S2);NMC 113 (S1);NMC 123 (S2);SNV 111 (S1);SNV 121 (S2);SWK 122 (S2);SWK 210 (S1);WTW 158 (S1);WTW 161 (S2);WTW 168 (S2);WTW 238 (S2);WTW 256 (S1);WTW 258 (S1);WTW 263 (S2);Target
11019418;39.0;50.0;NA;50.0;NA;72.0;50.0;NA;43.0;50.0;NA;59.0;82.0;NA;NA;NA;NA;NA;NA;NA;57.0;65.0;76.0;37.0;59.0;54.0;50.0;50.0;NA;50.0;56.0;61.0;NA;NA;50.0;50.0;0.0;50.0;46.0;47.0;55.0;Graduated_2
11019451;37.0;50.0;50.0;30.0;67.0;63.0;50.0;NA;NA;31.0;NA;71.0;97.0;NA;NA;NA;NA;NA;NA;NA;52.0;73.0;NA;41.0;77.0;47.0;NA;54.0;NA;0.0;NA;NA;44.0;NA;50.0;35.0;46.0;31.0;52.0;59.0;50.0;Graduated_3
11019566;50.0;NA;56.0;NA;NA;NA;50.0;NA;NA;NA;57.0;62.0;75.0;62.0;41.0;54.0;64.0;62.0;50.0;55.0;60.0;NA;NA;NA;0.0;NA;NA;NA;61.0;38.0;NA;NA;0.0;50.0;55.0;50.0;34.0;52.0;41.0;40.0;53.0;Graduated_2
11019892;58.0;NA;36.0;NA;67.0;65.0;NA;50.0;NA;NA;56.0;65.0;93.0;NA;NA;NA;NA;NA;NA;NA;59.0;NA;NA;NA;44.0;NA;NA;NA;34.0;NA;NA;NA;62.0;52.0;55.0;60.0;50.0;56.0;56.0;50.0;70.0;Graduated_1
11019957;66.0;64.0;50.0;NA;NA;75.0;NA;59.0;NA;NA;54.0;60.0;79.0;NA;NA;NA;NA;NA;NA;NA;60.0;70.0;NA;NA;NA;70.0;NA;NA;54.0;NA;52.0;71.0;NA;NA;64.0;56.0;50.0;52.0;55.0;54.0;59.0;Graduated_1
11020149;57.0;63.0;NA;75.0;84.0;85.0;72.0;NA;82.0;78.0;NA;64.0;98.0;NA;NA;NA;NA;NA;NA;NA;81.0;68.0;85.0;79.0;90.0;70.0;84.0;80.0;NA;56.0;77.0;70.0;59.0;NA;80.0;86.0;78.0;82.0;70.0;86.0;75.0;Graduated_0
11020599;50.0;66.0;NA;50.0;NA;NA;64.0;NA;66.0;55.0;NA;53.0;100.0;61.0;70.0;75.0;73.0;65.0;78.0;67.0;77.0;65.0;62.0;61.0;71.0;56.0;54.0;66.0;NA;50.0;NA;NA;70.0;NA;64.0;63.0;50.0;50.0;50.0;50.0;51.0;Graduated_1
11021773;57.0;50.0;NA;50.0;NA;75.0;44.0;NA;53.0;54.0;NA;60.0;86.0;NA;NA;NA;NA;NA;NA;NA;50.0;78.0;76.0;59.0;66.0;55.0;64.0;71.0;NA;57.0;76.0;61.0;NA;NA;66.0;69.0;58.0;69.0;71.0;53.0;67.0;Graduated_1
11021838;NA;54.0;32.0;38.0;NA;68.0;NA;40.0;NA;NA;50.0;54.0;75.0;NA;NA;NA;NA;NA;NA;NA;70.0;68.0;NA;50.0;46.0;50.0;NA;50.0;NA;42.0;NA;NA;50.0;NA;50.0;53.0;41.0;50.0;40.0;50.0;50.0;Graduated_2
11022036;50.0;64.0;27.0;NA;NA;NA;55.0;NA;51.0;NA;51.0;51.0;81.0;56.0;60.0;53.0;51.0;54.0;59.0;61.0;54.0;75.0;62.0;58.0;0.0;63.0;50.0;55.0;NA;41.0;NA;NA;52.0;NA;50.0;47.0;50.0;50.0;50.0;43.0;46.0;Graduated_1
11022095;50.0;NA;36.0;0.0;74.0;68.0;NA;32.0;NA;NA;37.0;65.0;95.0;NA;NA;NA;NA;NA;NA;NA;57.0;NA;NA;NA;52.0;NA;NA;NA;41.0;NA;50.0;77.0;NA;50.0;50.0;40.0;0.0;33.0;41.0;47.0;35.0;Active (BEng)
11022312;65.0;67.0;NA;69.0;82.0;80.0;58.0;NA;62.0;62.0;NA;75.0;97.0;NA;NA;NA;NA;NA;NA;NA;72.0;72.0;87.0;51.0;50.0;57.0;63.0;66.0;NA;52.0;73.0;50.0;53.0;NA;68.0;82.0;77.0;68.0;65.0;67.0;65.0;Graduated_1
11022613;NA;NA;31.0;NA;NA;75.0;NA;NA;NA;32.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;80.0;56.0;NA;NA;61.0;0.0;0.0;NA;NA;NA;NA;Graduated (T)
11022664;NA;NA;NA;41.0;NA;NA;NA;NA;NA;36.0;NA;NA;NA;66.0;NA;NA;50.0;72.0;NA;52.0;56.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34.0;34.0;NA;NA;NA;NA;NA;Graduated (T)
11022745;64.0;62.0;72.0;NA;87.0;67.0;NA;75.0;66.0;70.0;NA;NA;97.0;NA;NA;NA;NA;NA;NA;NA;71.0;70.0;NA;NA;66.0;NA;NA;NA;NA;NA;NA;NA;52.0;42.0;85.0;84.0;78.0;55.0;60.0;72.0;64.0;Graduated_0
11022770;50.0;70.0;NA;50.0;NA;79.0;52.0;NA;57.0;69.0;NA;62.0;87.0;NA;NA;NA;NA;NA;NA;NA;69.0;70.0;74.0;56.0;94.0;38.0;58.0;53.0;NA;46.0;59.0;68.0;31.0;NA;77.0;64.0;64.0;50.0;55.0;63.0;54.0;Graduated_2
11022869;38.0;53.0;30.0;NA;NA;75.0;NA;38.0;NA;NA;50.0;67.0;70.0;NA;NA;NA;NA;NA;NA;NA;50.0;60.0;NA;NA;NA;52.0;NA;NA;37.0;NA;61.0;50.0;47.0;NA;50.0;52.0;32.0;48.0;52.0;52.0;50.0;Graduated_2
11022907;41.0;41.0;NA;40.0;NA;75.0;53.0;NA;NA;50.0;NA;58.0;92.0;NA;NA;NA;NA;NA;NA;NA;72.0;60.0;61.0;53.0;69.0;52.0;50.0;42.0;56.0;0.0;52.0;76.0;44.0;NA;53.0;50.0;43.0;50.0;50.0;52.0;50.0;Active (BEng)
11023172;60.0;50.0;NA;57.0;NA;82.0;50.0;NA;72.0;62.0;NA;75.0;77.0;NA;NA;NA;NA;NA;NA;NA;62.0;82.0;69.0;58.0;79.0;57.0;58.0;53.0;NA;50.0;63.0;74.0;35.0;NA;60.0;56.0;35.0;36.0;33.0;40.0;51.0;Graduated_3
11023491;57.0;55.0;NA;61.0;NA;80.0;54.0;NA;71.0;63.0;NA;71.0;65.0;NA;NA;NA;NA;NA;NA;NA;73.0;66.0;82.0;71.0;79.0;68.0;86.0;83.0;NA;55.0;75.0;71.0;55.0;NA;58.0;72.0;57.0;70.0;59.0;72.0;75.0;Graduated_0
11023814;NA;NA;NA;82.0;NA;78.0;80.0;NA;NA;78.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;72.0;NA;NA;NA;NA;NA;NA;NA;NA;64.0;76.0;78.0;62.0;NA;82.0;84.0;76.0;NA;NA;NA;NA;Graduated (T)
11023997;79.0;75.0;50.0;NA;NA;NA;66.0;NA;64.0;NA;69.0;NA;97.0;58.0;75.0;71.0;78.0;75.0;84.0;91.0;76.0;65.0;NA;NA;68.0;NA;NA;NA;NA;NA;NA;NA;68.0;59.0;63.0;75.0;61.0;66.0;70.0;62.0;60.0;Graduated_1
11024012;50.0;54.0;NA;56.0;NA;78.0;40.0;NA;50.0;56.0;NA;54.0;65.0;NA;NA;NA;NA;NA;NA;NA;70.0;61.0;65.0;56.0;50.0;50.0;59.0;33.0;NA;47.0;50.0;67.0;27.0;NA;47.0;54.0;40.0;34.0;35.0;34.0;42.0;Active (BEng)
11024268;59.0;64.0;59.0;NA;NA;NA;61.0;NA;59.0;NA;68.0;82.0;87.0;55.0;52.0;50.0;64.0;50.0;61.0;60.0;56.0;75.0;NA;57.0;66.0;65.0;75.0;66.0;NA;52.0;NA;NA;61.0;NA;70.0;63.0;63.0;72.0;57.0;66.0;64.0;Graduated_2
